Host species,Region,no hosts sampled,Amalaraeus arvicolae,Amalaraeus dissimilis,Amalaraeus ioffi,Amalaraeus penicilliger,Amphalius runatus,Amphipsylla anceps,Amphipsylla argoi,Amphipsylla asiatica,Amphipsylla dumalis,Amphipsylla georgica,Amphipsylla kalabukhovi,Amphipsylla kuznetzovi,Amphipsylla longispina,Amphipsylla marikovskii,Amphipsylla montana,Amphipsylla parthiana,Amphipsylla phaiomydis,Amphipsylla prima,Amphipsylla primaris,Amphipsylla rossica,Amphipsylla schelkovnikovi,Amphipsylla sibirica,Amphipsylla vinogradovi,Atyphloceras nuperus,Callopsylla caspia,Callopsylla lagomys,Callopsylla saxatilis,Catallagia dacenkoi,Catallagia fetisovi,Catallagia ioffi,Catallagia striata,Ceratophyllus anisus,Ceratophyllus indages,Ceratophyllus paradoxus,Ceratophyllus sciurorum,Ceratophyllus sinicus,Citellophilus lebedewi,Citellophilus tesquorum,Citellophilus transcaucasicus,Citellophilus trispinus,Citellophilus ullus,Coptopsylla bairamalensis,Coptopsylla lamellifer,Coptopsylla olgae,Corrodopsylla birulai,Ctenophthalmus acuminatus,Ctenophthalmus agyrtes,Ctenophthalmus arvalis,Ctenophthalmus assimilis,Ctenophthalmus bisoctodentatus,Ctenophthalmus bogatschevi,Ctenophthalmus breviatus,Ctenophthalmus chionomydis,Ctenophthalmus congener,Ctenophthalmus congeneroides,Ctenophthalmus dilatatus,Ctenophthalmus dolichus,Ctenophthalmus dux,Ctenophthalmus euxinicus,Ctenophthalmus golovi,Ctenophthalmus hypanis,Ctenophthalmus inornatus,Ctenophthalmus nobilis,Ctenophthalmus obtusus,Ctenophthalmus orientalis,Ctenophthalmus pisticus,Ctenophthalmus proximus,Ctenophthalmus secundus,Ctenophthalmus shovi,Ctenophthalmus solutus,Ctenophthalmus teres,Ctenophthalmus uncinatus,Ctenophthalmus wagneri,Ctenophthalmus wladimiri,Ctenophyllus armatus,Ctenophyllus hirticrus,Ctenophyllus subarmatus,Desertopsylla rothschildi,Doratopsylla dasycnema,Echidnophaga oschanini,Frontopsylla ambigua,Frontopsylla elata,Frontopsylla elatoides,Frontopsylla hetera,Frontopsylla luculenta,Frontopsylla macrophthalma,Frontopsylla ornata,Frontopsylla protera,Frontopsylla semura,Frontopsylla wagneri,Hystrichopsylla microti,Hystrichopsylla orientalis,Hystrichopsylla satunini,Hystrichopsylla talpae,Leptopsylla nana,Leptopsylla segnis,Leptopsylla sicistae,Leptopsylla taschenbergi,Megabothris advenarius,Megabothris asio,Megabothris beljaevi,Megabothris bispinosa,Megabothris calcarifer,Megabothris rectangulatus,Megabothris turbidus,Megabothris walkeri,Mesopsylla apscheronica,Mesopsylla eucta,Mesopsylla hebes,Mesopsylla lenis,Mesopsylla tuschkan,Myoxopsylla jordani,Neopsylla abagaitui,Neopsylla acanthina,Neopsylla bidentatiformis,Neopsylla democratica,Neopsylla galea,Neopsylla mana,Neopsylla meridiana,Neopsylla pleskei,Neopsylla setosa,Neopsylla teratura,Nosopsyllus aralis,Nosopsyllus consimilis,Nosopsyllus fasciatus,Nosopsyllus fidus,Nosopsyllus iranus,Nosopsyllus laeviceps,Nosopsyllus mokrzeckyi,Nosopsyllus philippovi,Nosopsyllus simla,Nosopsyllus tersus,Nosopsyllus turkmenicus,Ophthalmopsylla karakum,Ophthalmopsylla kiritschenkovi,Ophthalmopsylla kukuschkini,Ophthalmopsylla praefecta,Ophthalmopsylla volgensis,Oropsylla alaskensis,Oropsylla ilovaiskii,Oropsylla silantiewi,Palaeopsylla caucasica,Palaeopsylla kohauti,Palaeopsylla soricis,Paradoxopsyllus dashidorzhii,Paradoxopsyllus hesperius,Paradoxopsyllus integer,Paradoxopsyllus kalabukhovi,Paradoxopsyllus microphthalmus,Paradoxopsyllus naryni,Paradoxopsyllus repandus,Paradoxopsyllus scorodumovi,Paradoxopsyllus teretifrons,Paramonopsyllus scalonae,Paraneopsylla ioffi,Paraneopsylla tiflovi,Pectinoctenus lauta,Pectinoctenus nemorosa,Pectinoctenus pamirensis,Pectinoctenus pavlovskii,Pectinoctenus pectiniceps,Peromyscopsylla bidentata,Peromyscopsylla fallax,Peromyscopsylla ostsibirica,Peromyscopsylla silvatica,Peromyscopsylla tikhomirovae,Phaenopsylla kopetdag,Phaenopsylla tiflovi,Rhadinopsylla altaica,Rhadinopsylla altifrons,Rhadinopsylla angusta,Rhadinopsylla bivirgis,Rhadinopsylla cedestis,Rhadinopsylla dahurica,Rhadinopsylla insolita,Rhadinopsylla integella,Rhadinopsylla ioffi,Rhadinopsylla isacantha,Rhadinopsylla li,Rhadinopsylla pentacantha,Rhadinopsylla pseudodahurica,Rhadinopsylla rothschildi,Rhadinopsylla socia,Rhadinopsylla ucrainica,Rostropsylla daca,Stenoponia conspecta,Stenoponia ivanovi,Stenoponia montana,Stenoponia sidimi,Stenoponia suknevi,Stenoponia tripectinata,Stenoponia vlasovi,Synosternus longispinus,Tarsopsylla octodecimdentata,Wagnerina longicauda,Wagnerina schelkovnikovi,Wagnerina tuvensis,Xenopsylla cheopis,Xenopsylla conformis,Xenopsylla gerbilli,Xenopsylla hirtipes,Xenopsylla magdalinae,Xenopsylla nubica,Xenopsylla nuttalli,Xenopsylla persica,Xenopsylla skrjabini
Allactaga major,Akmolinsk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allocricetulus eversmanni,Akmolinsk,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodemus uralensis,Akmolinsk,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvicola terrestris,Akmolinsk,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,82,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clethrionomys glareolus,Akmolinsk,5,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricetulus migratorius,Akmolinsk,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricetus cricetus,Akmolinsk,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellobius talpinus,Akmolinsk,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagurus lagurus,Akmolinsk,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,4,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmota bobak,Akmolinsk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
